product_key,name,slug,category_slug,part_brand_slug,product_type,short_description,description,attr:material,attr:brand,attr:usage-application,attr:laser-type,attr:color,attr:country-of-origin,attr:application,attr:focal-length,attr:diameter,attr:lens-type,attr:laser-wavelength,attr:shape,attr:power-handling,attr:coating,attr:type,attr:packaging-type,attr:marking-speed-capacity,attr:nozzle-diameter,attr:size,attr:model-name-number,attr:design-method,attr:height,attr:marking-depth,attr:corrosion-resistance,attr:marking-speed,attr:thickness,attr:assist-gas,attr:mount-type,attr:outer-diameter,attr:max-laser-power,attr:cooling-method,attr:nozzle-type,attr:ring-type,attr:process-type,attr:laser-power,attr:uses,attr:inner-diameter,attr:collimation-lens,attr:surface-finish,attr:pack-size,attr:offering-laser,attr:ceramic-material,attr:usage,attr:monitoring,attr:surface-finishing,attr:thread-size,attr:valve-size,attr:mounting-type,attr:part-type,attr:wall-thickness,attr:ring-height,attr:max-service-temp,attr:finish,attr:hardness,attr:copper-grade,attr:tip-type,attr:sterile,attr:bud-color,attr:packing-type,attr:voltage,attr:automation-grade,attr:feature,attr:parts,attr:leak-proof,attr:features,attr:finishing-type,attr:weight,attr:stick-material,attr:stick-length,attr:mounting-interface,attr:frame-material,attr:light-source-type,attr:support-laser-power,attr:max-cutting-thickness,attr:job-work-basis,attr:usage-industry,attr:service-location,attr:frequency,attr:temperature,attr:power,attr:part-number,attr:aperture,attr:form,attr:pack-volume,attr:tissue-type,attr:tissue-material,attr:country-of-origin-2,attr:gender,attr:is-it-reusable,attr:head-material,attr:total-length,attr:handle-material,attr:output-power,attr:cable-conductor,attr:insulation-material,attr:waterproof,attr:bore-size,attr:connection-type,attr:rubber-material,attr:series-no,attr:anode-dissipation,attr:anode-voltage,attr:available-interfaces,attr:cooling,attr:filter-media,attr:construction,attr:medium-material,attr:efficiency,attr:filter-class,attr:filtration-grade,attr:location,attr:production-capacity,attr:series,attr:power-resolution,attr:media,attr:protection-use,attr:fit-type,attr:inner-size,attr:finish-type,attr:beam-emission-shape,attr:ar-coated,attr:service-material,attr:machine-type,attr:operation-type,attr:max-sheet-size,attr:application-industry,attr:material-supply,attr:file-format,attr:pipe-material,attr:max-pipe-diameter,attr:pipe-shape,attr:cutting-type,attr:pipe-length-handling,attr:compressor-type,attr:cooling-capacity,attr:deep-filtration,attr:pressure,attr:max-flow-rate,attr:number-of-stages,attr:mounting,attr:mirror-type,attr:reflectivity,attr:working-temperature,attr:frame-type,attr:lens-material,attr:base-solvent,attr:formulation-type,attr:grade-standard,attr:pattern,attr:use,attr:packaging-size,attr:sheet-size,attr:by-nozzle-double,attr:by-nozzle-hd,attr:torch-model,attr:current-rating,attr:nozzle-bore,attr:consumable-type,attr:torch-type,attr:vehicle-model,attr:size-inch,attr:length,attr:valve,attr:quantity-per-pack,attr:pitch-series,attr:structure,attr:outer-measurement,attr:anti-fog,attr:head-shape,attr:sterility,attr:tip-material,attr:phone-brand,attr:center-wavelength,attr:modulation-type,attr:motor-voltage,attr:motor-current,attr:control-method,attr:feedback-type,attr:input-control-signal,attr:protection-features,attr:braking-type,attr:brand-name,attr:rf-interface,attr:impedance,attr:maximum-frequency,attr:pin-type,attr:mounting-style,attr:power-rating,attr:control-interface,attr:power-supply,attr:cooling-type,attr:communication,attr:tool-type,attr:compatible-power,attr:compatible-brand,attr:nozzle-outlet-size,attr:gas-type,attr:body-material,attr:capacity,attr:max-sheet-thickness,attr:max-bending-length,attr:bending-accuracy,attr:bending-type,attr:material-grade,attr:supported-format,attr:industry-served,attr:service-mode,attr:aperture-range,attr:focus,attr:cleaner-type,attr:lens-type-compatibility,attr:volume
RAYTOOLS-LASER-CUTTING-HEAD,Raytools Laser Cutting Head,raytools-laser-cutting-head,laser-cutting-head-cables,,SPARE_PART,"We deal in MAX, RAYCUS, RECI, IPG, RAYTOOLS, WSX, OSPRI, PRECITEC, CYPCUT, TF,S&A,Hanli etc all across India.","We deal in MAX, RAYCUS, RECI, IPG, RAYTOOLS, WSX, OSPRI, PRECITEC, CYPCUT, TF,S&A,Hanli etc all across India. We deal in superior quality products and provide good service periodically.",,,Laser cutting Head Cables,Fiber,White,,,,,,,,,,,,,,,Trumpf Laser cutting Machine,,,,,,,Oxygen,,,,,,,,1000 W,,,,,,,,,Height Sensing,,,,,Cable,,,,,,,,,,,,,,,,,,,,,,,,1000 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPG-QBH-I-12X13-4KW-FIBER-LASER-CUTTING-MACHINE,IPG QBH I 12x13 4KW Fiber Laser Cutting Machine,ipg-qbh-i-12x13-4kw-fiber-laser-cutting-machine,laser-cutting-machine,caplugs,SPARE_PART,,,LDPE,Caplugs,,,Yellow,,,,,,,Round,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transport Protection,,,,,,,,,,,,,,,,Poly Bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valve End,Push Fit,10 mm,Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPHIR-CO2-LASER-MACHINE-LENS,Ophir Co2 Laser Machine Lens,ophir-co2-laser-machine-lens,laser-cutting-machine-lens,ophir,SPARE_PART,We can provide Ophir C02 laser machine lens at a very economical rate all across india for laser cutting machines,We can provide Ophir C02 laser machine lens at a very economical rate all across india for laser cutting machines,Glass,Ophir,laser cutting,,,,,,,Convex and concave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,convex,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMADA-LASER-CUTTING-NOZZLE-2,Amada Laser Cutting Nozzle,amada-laser-cutting-nozzle-2,laser-cutting-nozzles,amada,SPARE_PART,We can provide Amanda Laser cutting nozzle at a very economical rate all across india for laser cutting machines,We can provide Amanda Laser cutting nozzle at a very economical rate all across india for laser cutting machines,Brass,Amada,laser cutting,CO2,,,,,,,,,,,,,,32mm,,,,15mm,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D-LASER-CUTTING-SERVICES,2D Laser Cutting Services,2d-laser-cutting-services,laser-cutting-services-2d-and-3d,,SPARE_PART,The TRUMPF TruLaser 3030 Fiber is a high-performance 2D laser cutting machine designed for maximum flexibility and productivity.,"The TRUMPF TruLaser 3030 Fiber is a high-performance 2D laser cutting machine designed for maximum flexibility and productivity. It features a 6 kW Raycus laser option, a 3000 × 1500 mm working range, and a maximum simultaneous speed of 170 m/min. The machine is capable of cutting mild steel up to 25 mm thick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 25 mm,Per Piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aluminum, Mild Steel, Brass, Copper, Stainless Steel",Fiber Laser,"Marking, Engraving, Cutting + Engraving, Cutting",1250 x 2500 mm,"Fabrication, Construction, Automotive, Electrical",Both Options,"DXF, DWG, PDF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUBE-LASER-CUTTING-SERVICES,Tube Laser Cutting Services,tube-laser-cutting-services,laser-cutting-services-2d-and-3d,,SPARE_PART,"HSG tube laser cutting machines are high-speed, intelligent fiber laser systems designed for precision processing of pipes, profiles, and tubes, offering 1500W-20000W+ power.","HSG tube laser cutting machines are high-speed, intelligent fiber laser systems designed for precision processing of pipes, profiles, and tubes, offering 1500W-20000W+ power. Key features include pneumatic chucks, HSG-X bus control, and automated loading, suitable for various industrial metal cutting needs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Up to 12 mm,Per Piece,"Fabrication, Automotive, Railway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alloy Steel, GI Steel, Mild Steel, Stainless Steel, Aluminum, Brass, Copper",300 mm,"C Channel, Round, Square, Oval, Rectangular","2D Cutting, 3D Bevel Cutting, Hole Cutting, Slot Cutting",Up to 3 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D-5-AXIS-LASER-CUTTING-SERVICES,3D 5 Axis Laser Cutting Services,3d-5-axis-laser-cutting-services,laser-cutting-services-2d-and-3d,,SPARE_PART,"3D Laser Cutting Services use multi-axis laser technology to precisely cut, engrave, and shape materials like metal, plastic, wood, and glass in three dimensions, enabling complex designs, intricate details, and beveled edges impossible with 2D methods, offering high precision, minimal material distortion, reduced waste, and faster production for prototyping, custom parts, and artistic creations across various industries.","3D Laser Cutting Services use multi-axis laser technology to precisely cut, engrave, and shape materials like metal, plastic, wood, and glass in three dimensions, enabling complex designs, intricate details, and beveled edges impossible with 2D methods, offering high precision, minimal material distortion, reduced waste, and faster production for prototyping, custom parts, and artistic creations across various industries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LASER-EQUIPMENT-PARTS,Laser Equipment Parts,laser-equipment-parts,laser-equipment-parts,raytools,SPARE_PART,,,Ceramic,Raytools,,CO2,,,Laser Cutting,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 kw,,,,,,,,,,,,,,Head,,,,,,,,,,,12 V,,,,,,,,,,,,,,,,,,20 kHz,-10 - 40 degree c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP-10-FILTER-FOR-CHILLER-UNIT,CP 10 Filter for Chiller Unit,cp-10-filter-for-chiller-unit,laser-filters,cp10,SPARE_PART,,,,CP10,Laser cutting machine chiller unit,,White,,,,10 inch,,,Round,,,Laser Cutting Chiller,,,,,Trulaser Cell 7040/7020/5030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automatic,,,,,,,,,,,,,,,,,,,4KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radient compressor,200Ltr,Laser water catridge filtration,10 Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOL-BM06K-PLANO-LASER-LENS,Raytool BM06k Plano Laser Lens,raytool-bm06k-plano-laser-lens,laser-lens,,SPARE_PART,,,Fused Silica,,,,,,Cutting,50 mm,,Plano Convex,532 nm,,<50 W,AR 532 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPHIR-MAZAK-CO2-LASER-LENSE,Ophir Mazak Co2 Laser Lense,ophir-mazak-co2-laser-lense,laser-lense,ophir,SPARE_PART,,,Glass,Ophir,Laser cutting,,,,,,,Co2 lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,co2,,,,,,,,,Z50ZZ013470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355NM-FUSED-SILICA-LASER-LENSE,355nm Fused Silica Laser Lense,355nm-fused-silica-laser-lense,laser-lense,,SPARE_PART,,,Fused Silica,,,CO2,,,,50 mm,,Plano Convex,355 nm,,<50 W,AR 355 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400MM-RAYCUS-LASER-LENSE,400mm Raycus Laser Lense,400mm-raycus-laser-lense,laser-lense,,SPARE_PART,,,Fused Silica,,,UV Laser,,,Cutting,400 mm,,Plano Convex,355 nm,,<50 W,AR 355 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LASER-MACHINE-MIRRORS,Laser Machine Mirrors,laser-machine-mirrors,laser-machine-mirror,,SPARE_PART,We can provide Laser machine mirrors at a very economical rate all across india for laser cutting machines,We can provide Laser machine mirrors at a very economical rate all across india for laser cutting machines,Glass and SS,,,,,,,,30mm,,,Round,,,,Box,,,,,,,,,,1 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOUBLE-LAYERS-RAYTOOLS-LASER-NOZZLE,Double Layers Raytools Laser Nozzle,double-layers-raytools-laser-nozzle,laser-machine-parts,raytools,SPARE_PART,We provide all types of raytool cutting head nozzles: Raytools single layer nozzle Raytools double layer nozzle raytools single layer chrome plated nozzle Raytools double layer chrome plated nozzle Raytools bullet type laser nozzle,"We provide all types of raytool cutting head nozzles:

Raytools single layer nozzle
Raytools double layer nozzle
raytools single layer chrome plated nozzle
Raytools double layer chrome plated nozzle
Raytools bullet type laser nozzle",Chrome Plated,RAYTOOLS,fiber laser cutting machine Raytools Head,Fiber Laser,Brown,,,,,,,,,,,,10000 mm/s,32mm,,,,H15,0.01,,,,,,,,,,,,,,,,,,Fiber laser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTOOLS-LASER-HEAD-PROTECTION-LENS,Raytools Laser Head Protection Lens,raytools-laser-head-protection-lens,laser-machine-parts,,SPARE_PART,"We can supply Protection window like Bodor ,Raytools ,Wsx ,Preceitec Laser cutting Head.Raytools protective lenses are high-precision optical windows for laser cutting heads, made from fused silica (quartz) with anti-reflective (AR) coatings, designed to shield core components from dust, fumes, spatter, and heat, ensuring beam quality, extending head life, and maintaining high cutting efficiency and accuracy in fiber laser systems.","We can supply Protection window like Bodor ,Raytools ,Wsx ,Preceitec Laser cutting Head.Raytools protective lenses are high-precision optical windows for laser cutting heads, made from fused silica (quartz) with anti-reflective (AR) coatings, designed to shield core components from dust, fumes, spatter, and heat, ensuring beam quality, extending head life, and maintaining high cutting efficiency and accuracy in fiber laser systems. They are consumables, come in various sizes/powers (e.g., 37x7mm for up to 15kW), offer high transmission (>99.76%), and are crucial for stable operation.",JSG1,,Fiber Laser cutting Machine,Fiber Laser,,,,,ALL TYPES DIMETER AVAILABLE,,,,,,,,10000 mm/s,,,,,,,,10000 mm/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYCO-VACUUM-PUMP,Hyco Vacuum Pump,hyco-vacuum-pump,laser-machine-spare-parts,trumpf-laser-machine,SPARE_PART,We can supply the Hyco Vaccum Pump for laser cutting machine all across india.,"We can supply the Hyco Vaccum Pump for laser cutting machine all across india.

We are offering replacement Hyco vacuum pumps forTrumpf® CO2 laser systems. These are direct drop inreplacements.We offer both the original hardwire version and thenewer plug version; the only aftermarket options thatprovide the exact OEM specifications.",Cast Iron,Trumpf laser machine,Industrial,,,,,,,,,,,,Oil Lubricant Vacuum Pumps,,,,,Hyco Vacuum Pump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10m3,Double Stage,Portable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1MM-CO2-LASER-MIRROR,1mm Co2 Laser Mirror,1mm-co2-laser-mirror,laser-mirror,,SPARE_PART,We can provide CO2 laser mirror of copper and stainless steel at a very economical rate all across india for laser cutting machines,We can provide CO2 laser mirror of copper and stainless steel at a very economical rate all across india for laser cutting machines,Copper and SS,,,,,,,,4 inch,,355 nm,Round,,,,,,,,,,,,,,1 mm,,,,,,,,,,Laser Co2 Fiber Mirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flat Mirror,99 %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPHIR-CO2-LASER-LENS,Ophir Co2 Laser Lens,ophir-co2-laser-lens,laser-mirror,,SPARE_PART,,,Glass,,,,Yellow,,,,1 inch,,,Round,,,,,,,,,,,,,,2mm,,,,,,,,,,Causes The Photons To Travel Back and Forth Through The Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINGLE-LAYER-BODOR-LASER-NOZZLE,Single Layer Bodor Laser Nozzle,single-layer-bodor-laser-nozzle,laser-nozzle,,SPARE_PART,10 PCS Bodor Laser Nozzles Double Layers Dia.32mm H15 Caliber 0.8-4.0mm For Bodor Empower Fiber Laser Cutting Head,10 PCS Bodor Laser Nozzles Double Layers Dia.32mm H15 Caliber 0.8-4.0mm For Bodor Empower Fiber Laser Cutting Head,Copper,,BODOR LASER CUTTING MACHINE,Fiber Laser,,,,,,,,,,,,,,"32mm, 1.5mm",,BODOR NOZZLE,,15mm,,,,,,,,,,,,,,Co2 & Fiber cutting Machine,,,,,,,,,COPPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECITEC-LASER-NOZZLE,Precitec Laser Nozzle,precitec-laser-nozzle,laser-nozzle,precitec,SPARE_PART,We can deliver Precitec Laser nozzle single and double layer for laser cutting machine.All model nozzle of precitec cutting head - co2 & fiber laser.,"We can deliver Precitec Laser nozzle single and double layer for laser cutting machine.All model nozzle of precitec cutting head - co2 & fiber laser.

precitec hp/n nozzle - single and double
hp/n (con) nozzle, double nozzle ss type,
hp/n (con) nozzle shorter h=11mm, hp nozzle, precitec hp nozzle, ds1. 5 nozzle,
cs2 nozzle,dxn nozzle
please share your cutting head model and nozzle part no, we will offer you quote all type of nozzles",Copper,Precitec,Laser cutting machine,Fiber Laser,brown,,,,,,,,,,,,8000 mm/s,"1mm, 28mm",,Precitec Laser Nozzle,,15mm,0.3mm,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECITEC-LASER-NOZZLE-2,Precitec Laser Nozzle,precitec-laser-nozzle-2,laser-nozzle,,SPARE_PART,We can provide Precitec laser nozzle at a very economical rate all across india for laser cutting machines,We can provide Precitec laser nozzle at a very economical rate all across india for laser cutting machines,Copper,,,,,,,,20mm,,,,,,,,,,,,,40mm,,,,,,,,,,,,,,Co2 & Fiber cutting Head,,,,,,,,,Chrome Plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHROME-PLATED-LASER-NOZZLE,Chrome Plated Laser Nozzle,chrome-plated-laser-nozzle,laser-nozzle,centricut,SPARE_PART,,,Brass,Centricut,,,Silver and Red,,,,32mm,,,,,,Double nozzle,Box,,,,,,15mm,,,,,,,,,,,,,,Co2 & Fiber cutting Head,,,,,,,,,Polished,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECITEC-LASER-NOZZLE-3,Precitec Laser Nozzle,precitec-laser-nozzle-3,laser-nozzle,precetic,SPARE_PART,,,Copper,Precetic,,,,,,,20mm,,,,,,,BOX,,,,,,10mm,,,,,,,,,,,,,,,,,,,,,,,Chrome Plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26MM-OSPIRI-LASER-NOZZLE,26mm Ospiri Laser Nozzle,26mm-ospiri-laser-nozzle,laser-nozzle,,SPARE_PART,We can supply ospri laser cutting Nozzle for fiber laser cutting machine.,"We can supply ospri laser cutting Nozzle for fiber laser cutting machine.
A 26mm Ospri Laser Nozzle is a high-precision, copper-alloy consumable for Ospri brand fiber laser cutting machines, known for its excellent thermal conductivity, corrosion resistance, and smooth interior for focused airflow, enabling clean cuts on metals like stainless steel, aluminum, and copper by delivering auxiliary gases (N2, Air, O2) to eject molten material, with specific calibers (0.8-4.0mm) chosen for material thickness and laser power.",COPPER,,fiber laser cutting machine,Fiber Laser,brown,,,,,,,,,,,,10000 mm/s,1mm,,,,H15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LASER-CERAMIC-NOZZLE,Laser Ceramic Nozzle,laser-ceramic-nozzle,laser-nozzle,centricut-thermacut,SPARE_PART,"We can deliver EBG/ EBF Laser nozzle with ceramic for laser cutting machine all across indiaA laser ceramic nozzle is a critical, heat-resistant component in laser cutting/welding heads, made from alumina ceramic to focus the beam, insulate sensitive parts (like lenses) from extreme heat/debris, ensure smooth gas flow for slag removal, and maintain precise height control via capacitance signals, offering durability, thermal stability, and precision for high-power industrial a","We can deliver EBG/ EBF Laser nozzle with ceramic for laser cutting machine all across indiaA laser ceramic nozzle is a critical, heat-resistant component in laser cutting/welding heads, made from alumina ceramic to focus the beam, insulate sensitive parts (like lenses) from extreme heat/debris, ensure smooth gas flow for slag removal, and maintain precise height control via capacitance signals, offering durability, thermal stability, and precision for high-power industrial applications.",Copper,Centricut / Thermacut,Laser cutting machine,Fiber Laser,Light brown,,,,0.8mm to 2.7mm,,,,,,,,8000 mm/s,,,Ceramic EBG/EBF Laser Nozzle,,15mm,0.3mm,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIBER-OPTIC-SENSOR-CABLE,Fiber Optic Sensor Cable,fiber-optic-sensor-cable,laser-nozzle,wsx-ospri,SPARE_PART,"We can deliver the WSX, Ospri,Precitec,Bodor,HSG,Raytools sensor cable for fiber laser cutting machine","We can deliver the WSX, Ospri,Precitec,Bodor,HSG,Raytools sensor cable for fiber laser cutting machine",Polycap,WSX/Ospri,Laser cutting machine,Fiber Laser,,,,,,,,,,,,,8000 mm/s,,,WSX/Ospri Sensor Cable,,,0.3mm,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-30V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
